35056,7512909.8290,4688418.9770,600.4410,35056
35072,7512900.6790,4688401.4180,600.7840,35072
35073,7512924.4680,4688384.9370,600.4030,35073
35093,7512902.9790,4688406.7770,600.7010,35093
35098,7512995.3170,4688364.5350,599.6540,35098
35101,7513085.7960,4688310.9340,598.3190,35101
35102,7512990.1750,4688354.2050,0.0000,35102
35103,7512982.7870,4688342.9270,599.5430,35103
35104,7512970.8970,4688350.5970,599.8400,35104
35105,7512959.3870,4688359.2970,599.8420,35105
35123,7512999.4260,4688333.2520,599.6130,35123
35124,7512997.2930,4688328.4590,599.4340,35124
35161,7513081.7990,4688305.7030,598.6890,35161
35162,7513081.1650,4688293.1450,598.5610,35162
35163,7513078.1350,4688288.7050,598.8200,35163
35164,7513048.5330,4688303.5940,598.6480,35164
45506,7513077.4930,4688289.0280,598.8080,45506
49511,7513082.6570,4688312.7930,598.5830,49511
49883,7513058.8970,4688326.8690,598.8580,49883
49884,7513033.6940,4688341.8000,598.7660,49884
49887,7513008.6880,4688356.6140,599.3360,49887
